Country Name,2017,2018
Aruba,105439,105962
Africa Eastern and Southern,632746296,649756874
Afghanistan,35643418,36686784
Africa Western and Central,431138704,442646825
Angola,30208628,31273533
Albania,2873457,2866376
Andorra,73837,75013
Arab World,423664839,432545676
United Arab Emirates,9068296,9140169
Argentina,44044811,44494502
Armenia,2851923,2836557
American Samoa,49463,48424
Antigua and Barbuda,91119,91626
Australia,24594202,24966643
Austria,8797566,8840521
Azerbaijan,9854033,9939771
Burundi,11155593,11493472
Belgium,11375158,11427054
Benin,11596779,11940683
Burkina Faso,19835858,20392723
Bangladesh,161793964,163683958
Bulgaria,7075947,7025037
Bahrain,1456834,1487340
"Bahamas, The",399020,401906
Bosnia and Herzegovina,3440027,3400129
Belarus,9458989,9438785
Belize,374693,382066
Bermuda,63873,63918
Bolivia,11435533,11606905
Brazil,208504960,210166592
Barbados,279187,279688
Brunei Darussalam,430276,434274
Bhutan,756121,762096
Botswana,2401840,2451409
Central African Republic,4996741,5094780
Canada,36545236,37065084
Central Europe and the Baltics,102740078,102538451
Switzerland,8451840,8514329
Channel Islands,165215,167259
Chile,18368577,18701450
China,1396215000,1402760000
Cote d'Ivoire,24848016,25493988
Cameroon,24393181,25076747
"Congo, Dem. Rep.",84283273,87087355
"Congo, Rep.",5312340,5441062
Colombia,48351671,49276961
Comoros,761664,776313
Cabo Verde,564954,571202
Costa Rica,4993842,5040734
Caribbean small states,7303634,7374650
Cuba,11336405,11328244
Curacao,160175,159336
Cayman Islands,63581,64884
Cyprus,1208523,1218831
Czechia,10594438,10629928
Germany,82657002,82905782
Djibouti,1040233,1057198
Dominica,70403,70823
Denmark,5764980,5793636
Dominican Republic,10647244,10765531
Algeria,41136546,41927007
East Asia & Pacific (excluding high income),2080968782,2094573278
Early-demographic dividend,3252529883,3294298709
East Asia & Pacific,2327134580,2341387076
Europe & Central Asia (excluding high income),396482489,398076771
Europe & Central Asia,915855416,918782553
Ecuador,16696944,17015672
"Egypt, Arab Rep.",101789386,103740765
Euro area,341246081,342065158
Eritrea,3396933,3445374
Spain,46593236,46797754
Estonia,1317384,1321977
Ethiopia,108197950,111129438
European Union,446215182,447001100
Fragile and conflict affected situations,916099469,936387926
Finland,5508214,5515525
Fiji,919019,918996
France,66918020,67158348
Faroe Islands,50230,50955
"Micronesia, Fed. Sts.",110430,110929
Gabon,2140215,2192012
United Kingdom,66058859,66460344
Georgia,3728004,3726549
Ghana,30222262,30870641
Gibraltar,32602,32648
Guinea,12240789,12554864
"Gambia, The",2381182,2444916
Guinea-Bissau,1879826,1924955
Equatorial Guinea,1450694,1502091
Greece,10754679,10732882
Grenada,120921,121838
Greenland,56171,56023
Guatemala,16087418,16346950
Guam,168606,168678
Guyana,763252,785514
High income,1224733163,1230678232
"Hong Kong SAR, China",7393200,7452600
Honduras,9626842,9792850
Heavily indebted poor countries (HIPC),770390212,792615894
Croatia,4124531,4087843
Haiti,10863543,11012421
Hungary,9787966,9775564
IBRD only,4776473096,4817627754
IDA & IBRD total,6401367406,6479097294
IDA total,1624894310,1661469540
IDA blend,547984961,559155599
Indonesia,264498852,267066843
IDA only,1076909349,1102313941
Isle of Man,83580,83775
India,1354195680,1369003306
Not classified,,
Ireland,4807388,4867316
"Iran, Islamic Rep.",84505076,85617562
Iraq,39621162,40590700
Iceland,343400,352721
Israel,8713300,8882800
Italy,60536709,60421760
Jamaica,2808376,2811835
Jordan,10215381,10459865
Japan,126972000,126811000
Kazakhstan,18037776,18276452
Kenya,48948137,49953304
Kyrgyz Republic,6198200,6322800
Cambodia,15830689,16025238
Kiribati,120362,122261
St. Kitts and Nevis,47785,47761
"Korea, Rep.",51361911,51585058
Kuwait,4124904,4317185
Latin America & Caribbean (excluding high income),571144463,577406030
Lao PDR,6997917,7105006
Lebanon,6109252,5950839
Liberia,4796631,4889391
Libya,6378261,6477793
St. Lucia,177163,177888
Latin America & Caribbean,633797190,639628226
Least developed countries: UN classification,999288864,1023493788
Low income,643485701,661256583
Liechtenstein,37889,38181
Sri Lanka,21444000,21670000
Lower middle income,3225575822,3270214763
Low & middle income,6322861019,6401272453
Lesotho,2170617,2198017
Late-demographic dividend,2286564636,2298987320
Lithuania,2828403,2801543
Luxembourg,596336,607950
Latvia,1942248,1927174
"Macao SAR, China",638609,650991
St. Martin (French part),34496,33852
Morocco,35528115,35927511
Monaco,37044,37029
Moldova,2755189,2707203
Madagascar,26169542,26846541
Maldives,472442,489758
Middle East & North Africa,456885486,465073490
Mexico,122839258,124013861
Marshall Islands,47187,45989
Middle income,5679375318,5740015870
North Macedonia,2074502,2076217
Mali,19311355,19934298
Malta,467999,484630
Myanmar,52288341,52666014
